Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
PP301386	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	JN.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		1802057	29721	partial	Bangladesh	Bangladesh	Homo sapiens	Institute of Epidemiology, Disease Control & Research (IEDCR), Virology	Bangladesh	2023-12-30	ssRNA(+)
PP301387	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	JN.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		984879	29721	partial	Bangladesh	Bangladesh	Homo sapiens	Institute of Epidemiology, Disease Control & Research (IEDCR), Virology	Bangladesh	2023-12-19	ssRNA(+)
PP301388	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	JN.1.18	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		1802649	29721	complete	Bangladesh	Bangladesh	Homo sapiens	Institute of Epidemiology, Disease Control & Research (IEDCR), Virology	Bangladesh	2023-12-30	ssRNA(+)
PP231958	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	GE.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_2231213021	29718	partial	Bangladesh	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2023-12-14	ssRNA(+)
PP231959	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	JN.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_3231203017	29709	partial	Bangladesh	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2023-12-22	ssRNA(+)
OR889510	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B220113_03	29724	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-13	ssRNA(+)
OR889511	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B220123_60	29724	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-23	ssRNA(+)
OR889512	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220125_93	29747	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-25	ssRNA(+)
OR889513	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220129_126	29724	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-29	ssRNA(+)
OR889514	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.50	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220203_164	29724	complete	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-03	ssRNA(+)
OR889531	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220205_325	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-05	ssRNA(+)
OR889532	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220212_120	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-12	ssRNA(+)
OR889533	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220214_356	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-14	ssRNA(+)
OR889534	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220208_95	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-08	ssRNA(+)
OR889535	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.50	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220205_390	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-05	ssRNA(+)
OR889538	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220609_14	29724	complete	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-09	ssRNA(+)
OR889542	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220305_22	29719	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-03-05	ssRNA(+)
OR889543	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_289	29722	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-20	ssRNA(+)
OR889546	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_264	29729	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-07	ssRNA(+)
OR889547	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_267	29729	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-20	ssRNA(+)
OR889548	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_285	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR889549	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_288	29435	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-15	ssRNA(+)
OR889551	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.25	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_238	29782	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-12-08	ssRNA(+)
